_id,frame_number,jenis_kendaraan,deteksi,date,hari,timestamp
666a752c18ab3c9b75c93a2b,2,car,1,2024-06-13,Thursday,2024-06-13 11:19:41
666a752c18ab3c9b75c93a2c,2,car,1,2024-06-13,Thursday,2024-06-13 11:19:41
666a752c18ab3c9b75c93a2d,2,car,1,2024-06-13,Thursday,2024-06-13 11:19:41
666a752c18ab3c9b75c93a2e,2,car,1,2024-06-13,Thursday,2024-06-13 11:19:41
666a752c18ab3c9b75c93a2f,2,car,1,2024-06-13,Thursday,2024-06-13 11:19:41
666a752c18ab3c9b75c93a30,2,car,1,2024-06-13,Thursday,2024-06-13 11:19:41
666a752c18ab3c9b75c93a31,3,car,1,2024-06-13,Thursday,2024-06-13 11:19:41
666a752c18ab3c9b75c93a32,3,car,1,2024-06-13,Thursday,2024-06-13 11:19:41
666a752c18ab3c9b75c93a33,3,car,1,2024-06-13,Thursday,2024-06-13 11:19:41
666a752c18ab3c9b75c93a34,3,car,1,2024-06-13,Thursday,2024-06-13 11:19:41
666a752c18ab3c9b75c93a35,4,car,1,2024-06-13,Thursday,2024-06-13 11:19:42
666a752c18ab3c9b75c93a36,4,car,1,2024-06-13,Thursday,2024-06-13 11:19:42
666a752c18ab3c9b75c93a37,4,car,1,2024-06-13,Thursday,2024-06-13 11:19:42
666a752c18ab3c9b75c93a38,4,car,1,2024-06-13,Thursday,2024-06-13 11:19:42
666a752c18ab3c9b75c93a39,4,car,1,2024-06-13,Thursday,2024-06-13 11:19:42
666a752c18ab3c9b75c93a3a,4,car,1,2024-06-13,Thursday,2024-06-13 11:19:42
666a752c18ab3c9b75c93a3b,4,car,1,2024-06-13,Thursday,2024-06-13 11:19:42
666a752c18ab3c9b75c93a3c,4,car,1,2024-06-13,Thursday,2024-06-13 11:19:42
666a752c18ab3c9b75c93a3d,4,car,1,2024-06-13,Thursday,2024-06-13 11:19:42
666a752c18ab3c9b75c93a3e,5,car,1,2024-06-13,Thursday,2024-06-13 11:19:43
666a752c18ab3c9b75c93a3f,5,car,1,2024-06-13,Thursday,2024-06-13 11:19:43
666a752c18ab3c9b75c93a40,5,car,1,2024-06-13,Thursday,2024-06-13 11:19:43
666a752c18ab3c9b75c93a41,5,car,1,2024-06-13,Thursday,2024-06-13 11:19:43
666a752c18ab3c9b75c93a42,5,car,1,2024-06-13,Thursday,2024-06-13 11:19:43
666a752c18ab3c9b75c93a43,5,car,1,2024-06-13,Thursday,2024-06-13 11:19:43
666a752c18ab3c9b75c93a44,5,car,1,2024-06-13,Thursday,2024-06-13 11:19:43
666a752c18ab3c9b75c93a45,5,car,1,2024-06-13,Thursday,2024-06-13 11:19:43
666a752c18ab3c9b75c93a46,6,car,1,2024-06-13,Thursday,2024-06-13 11:19:43
